"wage","female","age","educ","exper"
6.854650974,0,43,5,31
7.244185925,1,39,8,24
18.70624924,0,33,10,16
3.662499905,1,29,8,14
10.67261887,0,36,10,19
6.3139534,1,40,9,24
21.20624924,0,38,10,21
3.662499905,0,37,3,27
3.837500095,1,38,7,24
7.777777672,0,46,10,29
2.625,0,22,10,5
4.912499905,0,24,8,9
7.703125,1,25,10,8
6.787499905,1,41,3,31
6.743750095,0,30,9,14
6.083333492,1,28,6,15
3.477777719,0,18,6,5
1.743749976,0,33,10,16
3.662499905,1,30,8,15
4.994318008,0,30,7,16
7.368750095,1,32,9,16
11.74374962,0,33,10,16
7.222222328,0,29,7,15
4,1,31,10,14
3.772222281,0,36,9,20
2.412499905,1,38,7,24
3.75,0,37,6,24
7.368750095,1,32,12,13
3.333333254,0,45,1,37
3.638888836,1,44,5,32
4.166666508,0,24,10,7
3.541666746,0,18,10,1
5,0,26,10,9
4.816666603,0,23,7,9
6.016666889,0,20,6,7
0.354651153,1,19,7,5
7.5,1,47,5,35
10.83125019,0,40,2,31
5.113636494,0,23,8,8
5.444444656,1,20,6,7
8.662500381,1,38,8,23
6.404166698,0,34,6,21
3.299999952,1,28,8,13
5.775000095,1,30,10,13
5.775000095,0,32,8,17
4.965000153,0,31,13,11
3.78125,1,48,6,35
1.255555511,0,18,6,5
3.025000095,1,26,5,14
8.662500381,0,35,10,18
8.662500381,1,32,9,16
2.829166651,0,55,6,42
2.829166651,0,23,10,6
8.662500381,0,34,7,20
1.706249952,1,36,8,21
5.775000095,0,43,7,29
5.775000095,1,39,8,24
5.775000095,0,38,7,24
8.662500381,1,38,8,23
5.775000095,0,37,7,23
8.441860199,0,29,7,15
11.16250038,1,36,12,17
11.16250038,0,36,8,21
8.25,1,32,7,18
3.025000095,0,36,7,22
5.775000095,1,35,12,16
3.444444418,0,49,6,36
4.537499905,1,28,6,15
5.775000095,1,33,12,14
2.144444466,0,25,9,9
13.35624981,0,25,9,9
3.5,1,25,6,12
4.321428776,1,44,4,33
11.07222176,0,33,8,18
6.1875,0,37,10,20
3.277777672,1,34,8,19
1.811111093,1,41,4,30
1.255555511,0,22,8,7
2.928571463,1,29,0,22
4.883333206,0,30,8,15
