"id","year","animal","place","state","numAttacks","Duration","Affected"
278,2017,"Squirrel","Delavan","WA",1,0,2
279,2017,"Squirrel","Altus","OK",1,0,0
280,2017,"Squirrel","Lincoln","NE",1,0,3000
281,2017,"Bird","Omaha","NE",1,0,2736
282,2017,"Squirrel","Pembroke","ON",1,0,0
283,2017,"Squirrel","Blue Hill","ME",1,120,200
284,2017,"Bird","Tirau","Waikato",1,0,0
285,2017,"Possum","Frenchs Forest","NSW",1,120,8000
286,2017,"Animal","Sydney","NSW",1,0,8000
287,2017,"Squirrel","St. Ignace","MI",1,0,0
288,2017,"Squirrel","Fitchburg","MA",1,0,450
289,2017,"Squirrel","Pelion","SC",1,0,0
290,2017,"Squirrel","Findlay","OH",1,0,699
291,2017,"Squirrel","Kingston","NH",1,0,110
292,2017,"Unknown","Orleans","ON",1,0,1900
293,2017,"Unknown","Sutherlin","OR",1,0,1100
294,2017,"unknown","Hamilton","ON",1,0,0
295,2017,"Animal","Chicopee","MA",1,60,2000
296,2017,"Squirrel","Wilmington","MA",1,0,0
297,2017,"Squirrel","Americus","IN",1,0,50
298,2017,"Squirrel","West Laffayette","IN",1,0,0
299,2017,"Squirrel","Linden","IN",1,0,0
300,2017,"Bird","Grand Junction","CO",1,60,200
301,2017,"Tiger","Chandrapur","Maharashtra",1,0,0
302,2017,"Squirrel","Bristow","OK",1,0,1500
303,2017,"Squirrel","Los Angeles","CA",1,0,0
304,2017,"Unknwon","Greely","ON",1,0,5000
305,2017,"Bird","Edenderry",NA,1,0,1500
306,2017,"Squirrel","Tallahassee","FL",1,0,0
307,2017,"Bird","Bradenton","FL",1,0,0
308,2017,"Bird","Te Hapara",NA,1,10,0
309,2017,"Squirrel","Ashford","AL",1,0,0
310,2017,"Bird","Sevierville","TN",1,0,0
311,2017,"Squirrel","Sevierville","TN",1,0,2700
312,2017,"Squirrel","Orleans","ON",1,0,2255
313,2017,"Snake","Navi Mumbai",NA,1,0,0
314,2017,"Martin","Jena",NA,1,0,0
315,2017,"Beaver","Weldon","SK",1,300,3500
316,2017,"Squirrel","Wake Forest","NC",1,0,0
317,2017,"Animal","CHABLAIS","FRS",1,150,0
318,2017,"Squirrel","Newburgh","IN",1,0,0
