"name","city","business_postal_code","inspection_date","risk_category","isViolation","highRisk"
"Rubin's Market","San Francisco","94110","11/17/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Hana Zen Sushi & Yakitori Bar","San Francisco","94133","08/14/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Tsubasa Sushi","San Francisco","94102","06/01/2018 12:00:00 AM","High Risk",TRUE,TRUE
"The Cavalier Restaurant Kitchen","San Francisco","94102","06/13/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Marla Bakery","San Francisco","94121","08/13/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Gordon J Lau Elementary School","San Francisco","94108","02/28/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Heritage","San Francisco","94118","06/05/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Gourmet Carousel","San Francisco","94109","11/07/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"PHO AT BRYANT","San Francisco","94110","07/22/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Pompei's Grotto","San Francisco","94133","07/24/2017 12:00:00 AM",NA,FALSE,NA
"Burger King #4474","San Francisco","94102","06/20/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"KENMORE RESIDENCE CLUB","San Francisco","94109","06/29/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Supercue Cafe","San Francisco","94112","02/15/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Park Gyros Castro","San Francisco","94114","09/19/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Daily Grill","San Francisco","94102","07/25/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Zanze's Cheesecake","San Francisco","94127","06/29/2018 12:00:00 AM",NA,FALSE,NA
"Amawele's South African Kitchen","San Francisco","94105","05/14/2018 12:00:00 AM",NA,FALSE,NA
"Royal Star","San Francisco","94133","02/23/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Elaine's Kitchen","San Francisco","94133","11/07/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"BUTTER","San Francisco","94103","07/24/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Crazy Gringo Taco Wagon Salsa","San Francisco",NA,"10/09/2016 12:00:00 AM",NA,FALSE,NA
"Luen Fat Market","San Francisco","94133","08/28/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Tony's Cable Car Restaurant","San Francisco","94115","08/14/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"PARIGO","San Francisco","94123","11/15/2018 12:00:00 AM",NA,FALSE,NA
"Hornblower Cruises & Events/SF Belle","San Francisco","94111","03/19/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Mollie Stone's Grand Central Market (Mezzanine Level)","San Francisco","94115","06/27/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Thnasis Deli","San Francisco","94122","06/05/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Oma Sushi","San Francisco","94102","02/07/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Dumpling Time","San Francisco","94103","05/17/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"EDEN PLAZA CAFE","San Francisco","94107","03/26/2019 12:00:00 AM","High Risk",TRUE,TRUE
"The Napper Tandy","San Francisco",NA,"08/21/2017 12:00:00 AM",NA,FALSE,NA
